,id,name,unit,longitude,latitude,x,y,thiessen_weight
Precipitation,plu06a-1066,Elst OTT_P,mm,3.7385409127989,50.8123721075901,105585.0,167069.0,0.7382150198073589
Precipitation,P06_014,Maarke-Kerkem_P,mm,3.67094342051386,50.8189747206708,100828.0,167846.0,0.092948902267365
Precipitation,P06_040,Zingem_P,mm,3.65504022139818,50.9056674261054,99800.0,177500.0,0.16883607792527616
Precipitation,plu12a-1066,Ronse OTT_P,mm,3.55392527166325,50.7390614687576,92485.0,159041.0,0.0
Potential Evapotranspiration,ME05_019,Waregem_ME,mm,3.41131849113193,50.8614920135348,82595.0,172779.0,
River Discharge,L06_342,Nederzwalm/Zwalmbeek,m³/s,3.68613009931732,50.885418346256,101966.0,175227.0,
Precipitation of catchment,L06_342,Nederzwalm/Zwalmbeek,mm,3.68613009931732,50.885418346256,101966.0,175227.0,
