time,I,Q
0,172,139
1,250,124
2,438,220
3,736,342
4,1077,542
5,1622,805
6,2090,1271
7,2204,1684
8,2247,1973
9,2090,2169
10,1622,2090
11,1271,1895
12,1015,1622
13,844,1333
14,711,1077
15,627,891
16,549,759
17,488,651
18,433,558
19,388,496
20,343,434
21,313,396
22,283,350
23,266,319
24,240,296
25,236,265
26,224,235
27,213,220
28,201,204
29,192,197
30,182,189
