Parameter,Units,Minimum,Maximum,Value
lambda,-,0.5,1.5,0.65
S_max,m^3,1e7,5e7,4e7
b,-,0.5,1,0.86
alpha,-,1,1.5,1.11
Q_p_max,m^3/s,1,100,45
beta,-,0.05,0.1,0.06
gamma,-,5,10,9.84
S2_max,m^3,1.5e6,3e6,1.6e6
kappa_2,m^3/s,100,250,147
kappa_1,s^-1,3e-6,6e-6,3.75e-6
