Parameter,Units,Minimum,Maximum,Value
lambda,-,0.5,1.5,0.65
S_max,mm,87.0,430.0,350.0
b,-,0.5,1.0,0.86
alpha,-,0.5,1.0,0.8
Q_p_max,mm/d,0.75,75.0,34.0
beta,-,0.05,0.1,0.06
gamma,-,5.0,10.0,9.8
S2_max,mm,13.0,26.0,14.0
kappa_2,mm/d,75.0,190.0,110.0
kappa_1,d^-1,0.26,0.52,0.32
