time,noise,ssm
2014-11-18,8.194691,77.98451
2015-01-29,7.134956,54.663715
2015-02-10,7.2986727,61.219025
2015-02-13,7.9911504,75.57079
2015-03-30,9.837053,97.92727
2015-04-02,9.916289,98.81396
2015-04-23,8.438053,18.809734
2015-05-05,8.227876,78.20354
2015-05-17,7.154867,53.504425
2015-05-29,8.329646,19.867256
2015-06-10,7.615044,31.683628
2015-06-13,7.1238937,52.45354
2015-06-25,7.6792035,69.74115
2015-07-16,7.45354,64.89823
2015-07-28,8.426991,80.455154
2015-08-09,7.121681,51.15929
2015-08-21,8.006638,75.882744
2015-09-02,9.716814,96.42921
2015-09-05,9.316372,92.5531
2015-09-14,9.471239,94.2323
2015-09-17,9.530973,94.83407
2015-09-26,9.276548,92.141594
2015-10-08,9.506638,94.73009
2015-11-01,8.495575,82.45354
2015-11-13,8.659292,84.49779
2015-11-16,9.933628,98.98655
2015-11-25,9.988938,99.79412
2015-11-28,9.995575,99.807526
2015-12-07,8.544248,83.57964
2015-12-10,9.298673,92.099556
2015-12-19,8.654867,84.581856
2015-12-22,9.7853985,97.37832
2015-12-31,8.176991,77.96239
2016-01-03,9.920354,98.75221
2016-01-12,8.814159,86.659294
2016-01-15,9.984375,99.691444
2016-01-24,8.630531,84.37832
2016-01-27,9.949115,99.12389
2016-02-05,8.6061945,84.35619
2016-02-08,9.727876,96.94469
2016-02-29,7.420354,35.7323
2016-03-12,7.460177,64.7323
2016-03-15,7.924779,73.995575
2016-03-24,7.1106195,44.170353
2016-04-05,7.238938,59.488937
2016-04-08,7.2743363,60.469025
2016-04-17,7.130531,52.597343
2016-04-29,7.1725664,49.772125
2016-05-02,7.7676992,30.630531
2016-05-11,7.723451,42.99115
2016-05-23,8.380531,80.391594
2016-06-04,8.1061945,76.96239
2016-06-07,8.20354,75.10398
2016-06-16,7.8893805,72.55089
2016-06-28,7.858407,73.13496
2016-07-01,9.190266,90.789825
2016-07-10,7.0442476,50.221237
2016-07-22,7.70354,30.727877
2016-07-25,7.176991,42.504425
2016-08-06,7.619469,69.391594
2016-08-15,7.0818586,46.95354
2016-08-18,7.0840707,44.661503
2016-08-27,7.329646,37.915928
2016-08-30,7.075221,46.150444
2016-09-11,7.086283,45.946903
2016-09-23,7.8473454,27.048672
2016-10-05,9.1061945,9.858407
2016-10-11,8.6061945,16.909292
2016-10-14,9.648231,4.0818586
2016-10-20,8.736726,85.98894
2016-10-23,7.674779,69.60398
2016-10-26,7.261062,57.58186
2016-10-29,7.0818586,52.59071
2016-11-01,7.181416,44.05531
2016-11-04,7.621681,68.74115
2016-11-07,7.188053,56.827435
2016-11-10,8.539823,83.34513
